bsky_handle,name
@merlespellerberg.bsky.social,Merle Spellerberg
@metinhakverdi.bsky.social,Metin Hakverdi
@mikellner.bsky.social,Michael Kellner
@michaelroth.bsky.social,Michael Roth
@michaelsacher.bsky.social,Michael Sacher
@michael-schrodi.bsky.social,Michael Schrodi
@michaelthews.bsky.social,Michael Thews
@mi-muentefering.bsky.social,Michelle Müntefering
@misbahkhan.bsky.social,Misbah Khan
@al-halak.bsky.social,Muhanad Al-Halak
@rufnadine.bsky.social,Nadine Ruf
@nataliepawlik.bsky.social,Natalie Pawlik
@baradari.bsky.social,Nezahat Baradari
@zippelius.bsky.social,Nicolas Zippelius
@nicolebauer.bsky.social,Nicole Bauer
@nicolegohlke.bsky.social,Nicole Gohlke
@nielsannen.bsky.social,Niels Annen
@nroettgen.bsky.social,Norbert Röttgen
@nykeslawik.bsky.social,Nyke Slawik
@olafinderbeek.bsky.social,Olaf in der Beek
@nouripour.bsky.social,Omid Nouripour
@ophelia-nick.de,Ophelia Nick
@pascalmeiser.bsky.social,Pascal Meiser
@petrasittemdb.bsky.social,Petra Sitte
@petrapau.bsky.social,Petra Pau
@ralfstegner.bsky.social,Ralf Stegner
@houbenreinhard.bsky.social,Reinhard Houben
@renataaltmdb.bsky.social,Renata Alt
@renate-kuenast.de,Renate Künast
@ricardalang.bsky.social,Ricarda Lang
@ritaschwarzeluehr.bsky.social,Rita Schwarzelühr-Sutter
@rodki.bsky.social,Roderich Kiesewetter
@ruppertstuewe.bsky.social,Ruppert Stüwe
@sabinegruetzmacher.bsky.social,Sabine Grützmacher
@sarananni.bsky.social,Sara Nanni
@saschamuller.bsky.social,Sascha Müller
@eskensaskia.bsky.social,Saskia Esken
@schahinagambir.bsky.social,Schahina Gambir
@sebastianhartmann.bsky.social,Sebastian Hartmann
@serapgueler.bsky.social,Serap Güler
@soerenbartol.bsky.social,Soeren Bartol
@soenkerix.bsky.social,Sönke Rix
@stefanseidlerssw.bsky.social,Stefan Seidler
@stefwenzel.bsky.social,Stefan Wenzel
@stephanbischoff.bsky.social,Stephan Bischoff
@stepnieaeffner.bsky.social,Stephanie Aeffner
@susanneferschl.bsky.social,Susanne Ferschl
@sven-kindler.bsky.social,Sven Kindler
@svenjastadler.bsky.social,Svenja Stadler
@swantje-michaelsen.de,Swantje Michaelsen
@tabearoessner.bsky.social,Tabea Rößner
@thomashitschler.bsky.social,Thomas Hitschler
@thorstenlieb.bsky.social,Thorsten Lieb
@tillsteffen.de,Till Steffen
@tbbacherle.eu,Tobias B. Bacherle
