"","X","bsky_handle","name"
"128",143,"@thijsreuten.bsky.social","Thijs Reuten"
"129",145,"@michabloss.bsky.social","Michael Bloss"
"130",146,"@aschwab.bsky.social","Andreas Schwab"
"131",147,"@alexandrageese.bsky.social","Alexandra Geese"
"132",148,"@gabischoff.bsky.social","Gabriele Bischoff"
"133",149,"@chahim.bsky.social","Mohammed Chahim"
"134",150,"@birgitsippel.bsky.social","Birgit Sippel"
"135",151,"@rasmusandresen.bsky.social","Rasmus Andresen"
"136",152,"@klangensiepenmep.bsky.social","Katrin Langensiepen"
"137",153,"@juttapaulus.bsky.social","Jutta Paulus"
"138",154,"@hneumannmep.bsky.social","Hannah Neumann"
"139",155,"@davidcormand.bsky.social","David Cormand"
"140",156,"@erikmarquardt.bsky.social","Erik Marquardt"
"141",157,"@annacavazzini.bsky.social","Anna Cavazzini"
"142",158,"@tillymetz.bsky.social","Tilly Metz"
"143",159,"@terryreintke.bsky.social","Terry Reintke"
"144",160,"@mariepierrev.bsky.social","Marie-Pierre Vedrenne"
"145",161,"@fabiennekeller.bsky.social","Fabienne Keller"
"146",162,"@syoncourtin.bsky.social","Stéphanie Yon-Courtin"
"147",163,"@nathalieloiseau.bsky.social","Nathalie Loiseau"
"148",164,"@aurorelalucq.bsky.social","Aurore Lalucq"
"149",165,"@valeriehayer.bsky.social","Valérie Hayer"
"150",NA,"@chloe-ridel.fr","Chloe Ridel"
"151",NA,"@katarina-barley.de","Katarina Barley"
"152",NA,"@linagalvez.eu","Lina Galvez"
"153",NA,"@loekkegaard-mep.venstre.dk","Morten Loekkegaard"
"154",NA,"@matthias-ecke.eu","Matthias Ecke"
"155",NA,"@woelken.eu","Timo Wölken"
